Site,Year,site_idx,year_idx,coyote_effect,disturbance_effect,moci_effect,total_effect
BL,1997,1,1,0.12017493101136024,0.27762195941304924,0.007108194816787571,0.40490508524119706
DE,1997,2,1,0.388083157867642,-0.4296827601963987,0.007108194816787571,-0.03449140751196913
DP,1997,3,1,0.14984865330055727,-0.06604205866591863,0.007108194816787571,0.09091478945142621
PRH,1997,4,1,0,0.018984161843305966,0.007108194816787571,0.026092356660093536
TB,1997,5,1,0,0.4889482061273772,0.007108194816787571,0.4960564009441648
TP,1997,6,1,0,-0.3322044088461761,0.007108194816787571,-0.3250962140293885
BL,1998,1,2,0.12017493101136024,0.05511094577807259,-0.5379885124207832,-0.3627026356313503
DE,1998,2,2,0.388083157867642,-0.40444007033321566,-0.5379885124207832,-0.5543454248863569
DP,1998,3,2,0.14984865330055727,0.05791451726069473,-0.5379885124207832,-0.3302253418595312
PRH,1998,4,2,0,0.018984161843305966,-0.5379885124207832,-0.5190043505774772
TB,1998,5,2,0,0.05335923588866566,-0.5379885124207832,-0.4846292765321175
TP,1998,6,2,0,-0.18372703718542638,-0.5379885124207832,-0.7217155496062095
BL,1999,1,3,0.12017493101136024,0.060673721118947026,0.3261044468986318,0.506953099028939
DE,1999,2,3,0.388083157867642,-0.26041976227660535,0.3261044468986318,0.45376784248966845
DP,1999,3,3,0.14984865330055727,-0.2507616620075385,0.3261044468986318,0.22519143819165052
PRH,1999,4,3,0,-0.5315565316125671,0.3261044468986318,-0.20545208471393533
TB,1999,5,3,0,0.35768813697062263,0.3261044468986318,0.6837925838692545
TP,1999,6,3,0,0.10684158262378289,0.3261044468986318,0.4329460295224147
BL,2000,1,4,0.12017493101136024,0.019350247158165638,0.3180864916656239,0.4576116698351498
DE,2000,2,4,0.3414536167197615,-0.1361408742874138,0.3180864916656239,0.5233992340979716
DP,2000,3,4,-0.07475734102550663,-0.08224553264325372,0.3180864916656239,0.16108361799686355
PRH,2000,4,4,0,0.018984161843305966,0.3180864916656239,0.3370706535089299
TB,2000,5,4,0,0.11931985138195625,0.3180864916656239,0.4374063430475802
TP,2000,6,4,0,-0.23702660649954171,0.3180864916656239,0.0810598851660822
BL,2001,1,5,0.12017493101136024,-5.168076306715707e-4,0.2542635680108815,0.37392169139157017
DE,2001,2,5,0.3569967971023883,0.009618315329539127,0.2542635680108815,0.6208786804428089
DP,2001,3,5,0.021345468282711416,-0.0024745838317579397,0.2542635680108815,0.273134452461835
PRH,2001,4,5,0,0.018984161843305966,0.2542635680108815,0.2732477298541875
TB,2001,5,5,0,0.11833154027301128,0.2542635680108815,0.3725951082838928
TP,2001,6,5,0,-0.10794171206691866,0.2542635680108815,0.14632185594396285
BL,2002,1,6,0.12017493101136024,-0.24666961646436442,0.04868319583656061,-0.07781148961644357
DE,2002,2,6,0.388083157867642,-0.32504425948149457,0.04868319583656061,0.11172209422270807
DP,2002,3,6,0.14984865330055727,0.03142806941312777,0.04868319583656061,0.22995991855024567
PRH,2002,4,6,0,0.018984161843305966,0.04868319583656061,0.06766735767986658
TB,2002,5,6,0,0.06891598482576247,0.04868319583656061,0.11759918066232308
TP,2002,6,6,0,-0.2162064622362154,0.04868319583656061,-0.16752326639965479
BL,2003,1,7,0.12017493101136024,-0.15283089434509006,-0.1968325057715005,-0.2294884691052303
DE,2003,2,7,0.3171251604686933,-0.2193270113365399,-0.1968325057715005,-0.09903435663934707
DP,2003,3,7,0.14984865330055727,0.029643719242344314,-0.1968325057715005,-0.017340133228598897
PRH,2003,4,7,0,0.018984161843305966,-0.1968325057715005,-0.17784834392819454
TB,2003,5,7,0,0.31599376206200647,-0.1968325057715005,0.11916125629050597
TP,2003,6,7,0,-0.13423457996517646,-0.1968325057715005,-0.331067085736677
BL,2004,1,8,0.12017493101136024,-0.16008062661891137,-0.07023018200986518,-0.1101358776174163
DE,2004,2,8,0.025501704491837494,-0.00979618698201374,-0.07023018200986518,-0.054524664500041425
DP,2004,3,8,0.14984865330055727,0.09923337590289917,-0.07023018200986518,0.17885184719359126
PRH,2004,4,8,0,0.018984161843305966,-0.07023018200986518,-0.051246020166559214
TB,2004,5,8,0,0.3743939639542096,-0.07023018200986518,0.3041637819443444
TP,2004,6,8,0,0.08398216323319824,-0.07023018200986518,0.013751981223333057
BL,2005,1,9,0.12017493101136024,0.020498121434854005,-0.042713594145370834,0.09795945830084342
DE,2005,2,9,0.16769596594620134,-0.15337764142371926,-0.042713594145370834,-0.028395269622888755
DP,2005,3,9,0.14984865330055727,-0.024723200023714174,-0.042713594145370834,0.08241185913147227
PRH,2005,4,9,0,0.018984161843305966,-0.042713594145370834,-0.023729432302064868
TB,2005,5,9,0,0.09891828634730639,-0.042713594145370834,0.05620469220193555
TP,2005,6,9,0,-0.022876551219614093,-0.042713594145370834,-0.06559014536498492
BL,2006,1,10,0.12017493101136024,-0.2959193602150371,0.07722711646606852,-0.09851731273760837
DE,2006,2,10,0.16116934800362429,-0.04084334563726565,0.07722711646606852,0.19755311883242715
DP,2006,3,10,0.14984865330055727,-0.1140252493471883,0.07722711646606852,0.11305052041943749
PRH,2006,4,10,0,0.018984161843305966,0.07722711646606852,0.09621127830937448
TB,2006,5,10,0,-0.3511162364758523,0.07722711646606852,-0.27388912000978377
TP,2006,6,10,0,-0.3322044088461761,0.07722711646606852,-0.2549772923801076
BL,2007,1,11,-0.10620729670393611,-0.6263290334790433,0.043551704487435595,-0.6889846256955439
DE,2007,2,11,0.21993420645558787,-0.2915491517784248,0.043551704487435595,-0.028063240835401314
DP,2007,3,11,0.14984865330055727,-0.043707540480943254,0.043551704487435595,0.1496928173070496
PRH,2007,4,11,0,0.018984161843305966,0.043551704487435595,0.06253586633074157
TB,2007,5,11,0,-0.4444567300984334,0.043551704487435595,-0.4009050256109978
TP,2007,6,11,0,0.11830385559456039,0.043551704487435595,0.16185556008199597
BL,2008,1,12,-0.01565440561781755,-0.16430963711197383,0.36170416813318657,0.18174012540339518
DE,2008,2,12,0.2832373411048318,-0.29115580363015026,0.36170416813318657,0.3537857056078681
DP,2008,3,12,0.14984865330055727,-0.0024745838317579397,0.36170416813318657,0.5090782376019859
PRH,2008,4,12,0,0.018984161843305966,0.36170416813318657,0.38068832997649255
TB,2008,5,12,0,-0.020181759086701275,0.36170416813318657,0.3415224090464853
TP,2008,6,12,0,0.10298788740084908,0.36170416813318657,0.46469205553403564
BL,2009,1,13,0.02962203992524169,0.09683176083463073,0.21192876438060018,0.3383825651404726
DE,2009,2,13,0.26495084108039313,-0.007945136872486543,0.21192876438060018,0.46893446858850674
DP,2009,3,13,0.14984865330055727,0.09923337590289917,0.21192876438060018,0.4610107935840566
PRH,2009,4,13,0,0.018984161843305966,0.21192876438060018,0.23091292622390613
TB,2009,5,13,0,-0.1270990517816577,0.21192876438060018,0.08482971259894248
TP,2009,6,13,0,-0.09390739260052834,0.21192876438060018,0.11802137178007184
BL,2010,1,14,0.12017493101136024,0.056656161150537704,0.03457159462646683,0.2114026867883648
DE,2010,2,14,0.3403163108381059,-0.15136592324335466,0.03457159462646683,0.22352198222121805
DP,2010,3,14,0.14984865330055727,0.0012923776398960382,0.03457159462646683,0.18571262556692014
PRH,2010,4,14,0,0.018984161843305966,0.03457159462646683,0.05355575646977279
TB,2010,5,14,0,-0.4595116484246562,0.03457159462646683,-0.4249400537981894
TP,2010,6,14,0,0.10085459183101073,0.03457159462646683,0.13542618645747756
BL,2011,1,15,0.12017493101136024,0.049255392787678494,0.04672491102098201,0.21615523482002075
DE,2011,2,15,0.2746368961724936,0.15195088540111107,0.04672491102098201,0.4733126925945867
DP,2011,3,15,0.14984865330055727,0.09923337590289917,0.04672491102098201,0.2958069402244385
PRH,2011,4,15,0,0.018984161843305966,0.04672491102098201,0.06570907286428798
TB,2011,5,15,0,-0.09655125386881308,0.04672491102098201,-0.04982634284783107
TP,2011,6,15,0,-0.0682446370048432,0.04672491102098201,-0.021519725983861197
BL,2012,1,16,0.12017493101136024,0.1603526414162372,0.2808831793844676,0.561410751812065
DE,2012,2,16,0.2402109917729238,0.047123603885948086,0.2808831793844676,0.5682177750433395
DP,2012,3,16,0.14984865330055727,-0.1652073194072093,0.2808831793844676,0.26552451327781557
PRH,2012,4,16,0,0.018984161843305966,0.2808831793844676,0.2998673412277736
TB,2012,5,16,0,0.10122615569511743,0.2808831793844676,0.38210933507958506
TP,2012,6,16,0,-0.13594121642104715,0.2808831793844676,0.14494196296342046
BL,2013,1,17,0.12017493101136024,0.05163421119002609,-0.20615349531352561,-0.03434435311213929
DE,2013,2,17,0.29609579033045946,0.06555477426224048,-0.20615349531352561,0.15549706927917434
DP,2013,3,17,0.14984865330055727,-0.08526013245299047,-0.20615349531352561,-0.1415649744659588
PRH,2013,4,17,0,0.018984161843305966,-0.20615349531352561,-0.18716933347021963
TB,2013,5,17,0,0.012154873839057799,-0.20615349531352561,-0.1939986214744678
TP,2013,6,17,0,-0.041072307550588334,-0.20615349531352561,-0.24722580286411394
BL,2014,1,18,0.12017493101136024,0.02238873789057602,0.38383372457628817,0.5263973934782245
DE,2014,2,18,0.3485186987118645,-0.1761771141345175,0.38383372457628817,0.5561753091536352
DP,2014,3,18,0.14984865330055727,-0.007972311384982647,0.38383372457628817,0.5257100664918628
PRH,2014,4,18,0,0.018984161843305966,0.38383372457628817,0.40281788641959415
TB,2014,5,18,0,-0.32311408838907796,0.38383372457628817,0.06071963618721021
TP,2014,6,18,0,0.10684158262378289,0.38383372457628817,0.4906753072000711
BL,2015,1,19,0.12017493101136024,0.15709516036077023,-0.5905312907483012,-0.31326119937617075
DE,2015,2,19,0.29741460563565203,0.1277599742822273,-0.5905312907483012,-0.16535671083042192
DP,2015,3,19,0.14984865330055727,-0.10736091730812308,-0.5905312907483012,-0.5480435547558671
PRH,2015,4,19,0,0.018984161843305966,-0.5905312907483012,-0.5715471289049953
TB,2015,5,19,0,0.016411957163060632,-0.5905312907483012,-0.5741193335852406
TP,2015,6,19,0,0.01836716313059418,-0.5905312907483012,-0.5721641276177071
BL,2016,1,20,-0.1120119692094565,0.11073869918681675,-0.28295208147066236,-0.2842253514933021
DE,2016,2,20,0.09189922057647469,0.11880037757152963,-0.28295208147066236,-0.07225248332265805
DP,2016,3,20,0.04633219870284811,-0.03298697175215507,-0.28295208147066236,-0.26960685451996935
PRH,2016,4,20,0,0.018984161843305966,-0.28295208147066236,-0.2639679196273564
TB,2016,5,20,0,-0.3069023184441033,-0.28295208147066236,-0.5898543999147656
TP,2016,6,20,0,0.16272016335632314,-0.28295208147066236,-0.12023191811433923
BL,2017,1,21,-0.0191372091211298,0.18996610555684632,-0.1831911692807117,-0.012362272844995165
DE,2017,2,21,-0.07303119348362136,0.23143530764887205,-0.1831911692807117,-0.024787055115461004
DP,2017,3,21,-0.17105235595234108,0.09923337590289917,-0.1831911692807117,-0.2550101493301536
PRH,2017,4,21,0,0.018984161843305966,-0.1831911692807117,-0.16420700743740574
TB,2017,5,21,0,-0.29111163343276447,-0.1831911692807117,-0.47430280271347613
TP,2017,6,21,0,0.02226859556912738,-0.1831911692807117,-0.1609225737115843
BL,2018,1,22,0.027300170923033544,0.14782386812597953,0.03568302490173368,0.21080706395074678
DE,2018,2,22,0.039809639140337985,0.14636836745059945,0.03568302490173368,0.2218610314926711
DP,2018,3,22,-0.046832610435090113,0.09923337590289917,0.03568302490173368,0.08808379036954274
PRH,2018,4,22,0,0.018984161843305966,0.03568302490173368,0.05466718674503965
TB,2018,5,22,0,-0.248669353231556,0.03568302490173368,-0.21298632832982234
TP,2018,6,22,0,0.16272016335632314,0.03568302490173368,0.1984031882580568
BL,2019,1,23,-0.18166803927570155,0.15709516036077023,-0.15276340628045723,-0.17733628519538855
DE,2019,2,23,-0.19979215420945037,0.2855267859271215,-0.15276340628045723,-0.06702877456278611
DP,2019,3,23,-0.36773361968798846,0.09923337590289917,-0.15276340628045723,-0.42126365006554656
PRH,2019,4,23,0,0.018984161843305966,-0.15276340628045723,-0.13377924443715128
TB,2019,5,23,0,-0.2671097922155294,-0.15276340628045723,-0.4198731984959866
TP,2019,6,23,0,0.10085459183101073,-0.15276340628045723,-0.051908814449446505
BL,2020,1,24,-0.06093085116087683,-0.08395843774378779,-0.09569340340186383,-0.24058269230652846
DE,2020,2,24,-0.7168602221421414,0.36966908547106503,-0.09569340340186383,-0.4428845400729402
DP,2020,3,24,-0.2642171650902793,0.09923337590289917,-0.09569340340186383,-0.260677192589244
PRH,2020,4,24,0,0.018984161843305966,-0.09569340340186383,-0.07670924155855786
TB,2020,5,24,0,0.06891598482576247,-0.09569340340186383,-0.02677741857610136
TP,2020,6,24,0,0.16272016335632314,-0.09569340340186383,0.06702675995445931
BL,2021,1,25,-0.37786596996229166,0.18722686012384,0.24977351308039716,0.059134403241945493
DE,2021,2,25,-1.5272369411547506,0.36966908547106503,0.24977351308039716,-0.9077943426032883
DP,2021,3,25,-0.5402610440175036,0.09923337590289917,0.24977351308039716,-0.1912541550342073
PRH,2021,4,25,0,0.018984161843305966,0.24977351308039716,0.2687576749237031
TB,2021,5,25,0,0.1889251909119381,0.24977351308039716,0.43869870399233524
TP,2021,6,25,0,0.16272016335632314,0.24977351308039716,0.4124936764367203
BL,2022,1,26,-0.3649298426642747,0.009019378667970292,-0.010171713415330956,-0.36608217741163535
DE,2022,2,26,-1.3787422494320114,0.21688438366758858,-0.010171713415330956,-1.1720295791797537
DP,2022,3,26,-0.39162203228745984,0.09923337590289917,-0.010171713415330956,-0.30256036979989165
PRH,2022,4,26,0,0.018984161843305966,-0.010171713415330956,0.00881244842797501
TB,2022,5,26,0,0.014129173351638847,-0.010171713415330956,0.003957459936307891
TP,2022,6,26,0,0.16272016335632314,-0.010171713415330956,0.15254844994099218
BL,2023,1,27,-0.42427716351394884,-0.045897343306226,0.10031882753713109,-0.36985567928304375
DE,2023,2,27,-0.6683004374174357,0.2855267859271215,0.10031882753713109,-0.2824548239531831
DP,2023,3,27,-0.21776747392464055,-0.010950247142979354,0.10031882753713109,-0.1283988935304888
PRH,2023,4,27,0,0.018984161843305966,0.10031882753713109,0.11930298938043706
TB,2023,5,27,0,0.32093531760673133,0.10031882753713109,0.4212541451438624
TP,2023,6,27,0,0.005244163110073352,0.10031882753713109,0.10556299064720444
BL,2024,1,28,-0.12629233645612026,-0.1410500794001305,-0.39863200162690077,-0.6659744174831514
DE,2024,2,28,-0.22301745778840532,0.29523551279757654,-0.39863200162690077,-0.32641394661772954
DP,2024,3,28,-0.32095214501402375,-0.05631997427951757,-0.39863200162690077,-0.775904120920442
PRH,2024,4,28,0,0.018984161843305966,-0.39863200162690077,-0.3796478397835948
TB,2024,5,28,0,0.1865250067902146,-0.39863200162690077,-0.21210699483668616
TP,2024,6,28,0,0.16272016335632314,-0.39863200162690077,-0.23591183827057763
BL,2025,1,29,-0.19074602334448534,0.08822270375946792,-0.01259306993796943,-0.11511638952298686
DE,2025,2,29,-0.8323191103943831,0.17614179651999484,-0.01259306993796943,-0.6687703838123576
DP,2025,3,29,-0.21990898566019926,0.039133217877874514,-0.01259306993796943,-0.19336883772029417
PRH,2025,4,29,0,0.018984161843305966,-0.01259306993796943,0.006391091905336536
TB,2025,5,29,0,0.030731237434706623,-0.01259306993796943,0.018138167496737193
TP,2025,6,29,0,0.16272016335632314,-0.01259306993796943,0.1501270934183537
